kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;nama_lokasi;lokasi_sampling;lintang_selatan;bujur_timur;kecerahan;satuan_kecerahan;Kekeruhan;satuan_kekeruhan;ph;suhu;satuan_suhu;salinitas;satuan_salinitas;TSS;satuan_TSS;BOD5;satuan_BOD5;Do;satuan_Do;M&L;satuan_M&L;Coliform;satuan_coliform;Pb;satuan_pb;Cd;satuan_cd;Cu;satuan_cu;Nikel;satuan_nikel;Zn;satuan_zn;NO3N;satuan_NO3N;Sianida;satuan_sianida;NNH3;satuan_NNH3;Orthophospate;satuan_orthophospate;Sulfida;satuan_sulfida;SenyawaFenolTotal;satuan_SenyawaFenolTotal;PoliarometikHidrokarbon;satuan_PoliarometikHidrokarbon;PoliklorBifenil;satuan_PoliklorBifenil;Surfaktan;satuan_surfaktan;Pestisida;satuan_pestisida;Hg;satuan_hg;KromiumHeksavalen;satuan_kromiumheksavalen;Arsen;satuan_arsen;Patagon;satuan_patagon
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Biota Laut;Kuala Lamtengoh 02;05o 55’ 36,5”;095o 24’ 67,78”;5,2;m;2,65;NTU;7,7;30,7;0C;27;persen;40,8;mg/L;2,46;mg/L;4,6;mg/L;0,6;µg/L;70;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,011;mg/L;<0,0048;mg/L;0,424;mg/L;<0,005;mg/L;<0,016;mg/L;3,46;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Biota Laut;Lam Badeuk;05o 55’ 81, 25”;095o 24’ 31,81”;5,4;m;2,41;NTU;7,6;30,1;0C;25,9;persen;42,5;mg/L;2,61;mg/L;4,5;mg/L;1;µg/L;49;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,011;mg/L;<0,0048;mg/L;0,005;mg/L;<0,005;mg/L;<0,016;mg/L;2,26;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.06;Kabupaten Aceh Besar;2020;Biota Laut;Lam Pageu;05o 56’ 19,94”;095o 24’ 08,67”;7,5;m;2,35;NTU;7,5;29,7;0C;23,9;persen;43,9;mg/L;2,46;mg/L;4,9;mg/L;1;µg/L;94;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,012;mg/L;<0,0048;mg/L;0,372;mg/L;<0,005;mg/L;<0,016;mg/L;0,04;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.06;Kabupaten Aceh Besar;2021;Wisata Bahari;Pantai Lhoknga;05o 45’ 55,02”;095o 24’ 04,78”;6,4;m;2;NTU;7,5;31,6;0C;26,2;persen;44;mg/L;2,16;mg/L;4,8;mg/L;1;µg/L;70;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,016;mg/L;<0,0048;mg/L;0,446;mg/L;<0,005;mg/L;0,23;mg/L;0,03;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.06;Kabupaten Aceh Besar;2021;Wisata Bahari;Pantai Lhoknga 2;05o 44’ 87,56”;095o 23’ 49,44”;4,8;m;2,16;NTU;8;31,3;0C;27,8;persen;44;mg/L;2,46;mg/L;4,3;mg/L;0,8;µg/L;70;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,014;mg/L;<0,0048;mg/L;0,005;mg/L;<0,005;mg/L;0,24;mg/L;<0,018;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.14;Kabupaten Aceh Jaya;2021;Wisata Bahari;Lhok Geulumpang;05o 70’ 86,11”;095o 51’ 00,00”;2,2;m;3,5;NTU;7,5;29,8;0C;32,7;persen;44,8;mg/L;2,76;mg/L;4,8;mg/L;0,6;µg/L;93;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,012;mg/L;<0,0048;mg/L;0,005;mg/L;<0,005;mg/L;0,07;mg/L;<0,018;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.14;Kabupaten Aceh Jaya;2021;Wisata Bahari;Pantai Pasie Luah ;"05o 62’ 22,22""";095o 58’ 38,89”;3;m;3,72;NTU;7,6;29,8;0C;24,6;persen;44,1;mg/L;2,31;mg/L;5;mg/L;0,6;µg/L;220;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,02;mg/L;<0,0048;mg/L;0,004;mg/L;<0,005;mg/L;<0,016;mg/L;0,15;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.14;Kabupaten Aceh Jaya;2021;Wisata Bahari;Muara Sungai Rigaih;05o 66’ 75,00”;095o 56’ 16,67”;2;m;4,15;NTU;7,3;29;0C;20,4;persen;44,8;mg/L;2,76;mg/L;4,3;mg/L;0,8;µg/L;330;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,01;mg/L;<0,0048;mg/L;0,004;mg/L;<0,005;mg/L;<0,016;mg/L;1,87;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.07;Kabupaten Pidie;2021;Wisata Bahari;Sigli Benteng;05o 38’ 91,67”;095o 97’ 00,00”;3;m;4,52;NTU;7,8;33,5;0C;26,7;persen;41,9;mg/L;2,46;mg/L;4,3;mg/L;0,8;µg/L;280;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,01;mg/L;<0,0048;mg/L;0,004;mg/L;<0,005;mg/L;<0,016;mg/L;3,39;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
11;Aceh;11.07;Kabupaten Pidie;2021;Wisata Bahari;Muara Pidie;05o 39’ 38,89”;095o 95’ 69,44”;2,1;m;4,13;NTU;7,5;32,8;0C;24;persen;44;mg/L;2,16;mg/L;4,8;mg/L;0,6;µg/L;110;Jml/100ml;<0,0033;mg/L;<0,0003;mg/L;<0,005;mg/L;0,01;mg/L;<0,0048;mg/L;0,004;mg/L;<0,005;mg/L;<0,016;mg/L;0,09;mg/L;<0,0022;mg/L;<0,0002;mg/L;<0,000006;mg/L;<0,005;µg/L;<0,013;mg/L;<0,005;µg/L;<0,0007;mg/L;<0,0016;mg/L;<0,0064;mg/L;<1,8;sel/100ml
